author;text;add_date;editor
Mark Twain;The secret of getting ahead is getting started.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Jane Austen;It isn't what we say or think that defines us, but what we do.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Albert Einstein;Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.;2023;Gaurab
William Shakespeare;All the world's a stage, and all the men and women merely players.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Shakespere;To not be or  to be, that is the question;Thu Apr 27 19:50:15 EDT 2023;Gaurab
J.K. Rowling;It is our choices, Harry, that show what we truly are, far more than our abilities;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Maya Angelou;I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Ernest Hemingway;The world breaks everyone, and afterward, some are strong at the broken places;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Maya Angelou;If you don't like something, change it. If you can't change it, change your attitude.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Oscar Wilde;Be yourself cause everyone else is already taken.;TODAY;Gaurab
Nelson Mandela;The greatest glory in living lies not in never falling, but in rising every time we fall.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Malala Yousafzai;We realize the importance of our voices only when we are silenced.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Eleanor Roosevelt;No one can make you feel inferior without your consent.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Walt Disney;All our dreams can come true, if we have the courage to pursue them.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Albert Camus;In the depth of winter, I finally learned that there was in me an invincible summer.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Virginia Woolf;One cannot think well, love well, sleep well, if one has not dined well.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
C.S. Lewis;There are far, far better things ahead than any we leave behind.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Maya Angelou;I've learned that you shouldn't go through life with a catcher's mitt on both hands; you need to be able to throw something back.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Leo Tolstoy;If you want to be happy, be.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Oscar Wilde;To live is the rarest thing in the world. Most people exist, that is all.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Stephen King;Get busy living or get busy dying.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Margaret Mead;Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Ralph Waldo Emerson;Do not go where the path may lead, go instead where there is no path and leave a trail.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Mother Teresa;Not all of us can do great things. But we can do small things with great love.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Maya Angelou;Try to be a rainbow in someone's cloud.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
J.R.R. Tolkien;Not all those who wander are lost.;Thu Apr 27 19:50:15 EDT 2023;Gaurab
Anne Frank;How wonderful it is that nobody need wait a single moment before starting to improve the world.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Friedrich Nietzsche;He who has a why to live can bear almost any how.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Maya Angelou;I've learned that making a living is not the same thing as making a life.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Dr. Seuss;Be who you are and say what you feel, because those who mind don't matter and those who matter don't mind.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Rumi;The wound is the place where the light enters you.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
E.E. Cummings;It takes courage to grow up and become who you really are.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Maya Angelou;I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.;Thu Apr 28 19:50:15 EDT 2023;Gaurab
Isaiah;A GORKHALI IS NOT AFRAID TO DIE EVEN IF HE DIES.;Fri Apr 28 11:37:00 EDT 2023;Isaiah
